"COUNTRY","Country","FLEET","Fleet","MEASURE","Measure","YEAR","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"AUS","Australia","TOT_VESSEL","Total Vessels","NUM","Number of vessels","2010","2010","NBR","Number","0","Units",,,318,,
"AUS","Australia","TOT_VESSEL","Total Vessels","NUM","Number of vessels","2011","2011","NBR","Number","0","Units",,,325,,
"AUS","Australia","TOT_VESSEL","Total Vessels","NUM","Number of vessels","2012","2012","NBR","Number","0","Units",,,318,,
"AUS","Australia","TOT_VESSEL","Total Vessels","NUM","Number of vessels","2013","2013","NBR","Number","0","Units",,,306,,
"AUS","Australia","TOT_VESSEL","Total Vessels","NUM","Number of vessels","2014","2014","NBR","Number","0","Units",,,309,,
"AUS","Australia","TOT_VESSEL","Total Vessels","NUM","Number of vessels","2015","2015","NBR","Number","0","Units",,,298,,
"AUS","Australia","TOT_VESSEL","Total Vessels","NUM","Number of vessels","2016","2016","NBR","Number","0","Units",,,290,,
"AUS","Australia","TOT_VESSEL","Total Vessels","NUM","Number of vessels","2017","2017","NBR","Number","0","Units",,,315,,
"AUS","Australia","TOT_VESSEL","Total Vessels","NUM","Number of vessels","2018","2018","NBR","Number","0","Units",,,285,,
"AUS","Australia","TOT_VESSEL","Total Vessels","NUM","Number of vessels","2019","2019","NBR","Number","0","Units",,,294,,
"AUS","Australia","TOT_VESSEL","Total Vessels","NUM","Number of vessels","2020","2020","NBR","Number","0","Units",,,302,,
"AUS","Australia","TOT_VESSEL","Total Vessels","GRT","Gross tonnage","2010","2010","TONNE","Tonnes","0","Units",,,36365,,
"AUS","Australia","TOT_VESSEL","Total Vessels","GRT","Gross tonnage","2011","2011","TONNE","Tonnes","0","Units",,,34931,,
"AUS","Australia","TOT_VESSEL","Total Vessels","GRT","Gross tonnage","2012","2012","TONNE","Tonnes","0","Units",,,35360,,
"AUS","Australia","TOT_VESSEL","Total Vessels","GRT","Gross tonnage","2013","2013","TONNE","Tonnes","0","Units",,,35713,,
"AUS","Australia","TOT_VESSEL","Total Vessels","GRT","Gross tonnage","2014","2014","TONNE","Tonnes","0","Units",,,40741,,
"AUS","Australia","TOT_VESSEL","Total Vessels","GRT","Gross tonnage","2015","2015","TONNE","Tonnes","0","Units",,,53948,,
"AUS","Australia","TOT_VESSEL","Total Vessels","GRT","Gross tonnage","2016","2016","TONNE","Tonnes","0","Units",,,64623,,
"AUS","Australia","TOT_VESSEL","Total Vessels","GRT","Gross tonnage","2017","2017","TONNE","Tonnes","0","Units",,,40648,,
"AUS","Australia","TOT_VESSEL","Total Vessels","GRT","Gross tonnage","2018","2018","TONNE","Tonnes","0","Units",,,39367,,
"AUS","Australia","TOT_VESSEL","Total Vessels","GRT","Gross tonnage","2019","2019","TONNE","Tonnes","0","Units",,,53259,,
"AUS","Australia","TOT_VESSEL","Total Vessels","GRT","Gross tonnage","2020","2020","TONNE","Tonnes","0","Units",,,59120,,
"AUS","Australia","LOA_UNK","LOA unknown","NUM","Number of vessels","2010","2010","NBR","Number","0","Units",,,14,,
"AUS","Australia","LOA_UNK","LOA unknown","NUM","Number of vessels","2011","2011","NBR","Number","0","Units",,,11,,
"AUS","Australia","LOA_UNK","LOA unknown","NUM","Number of vessels","2012","2012","NBR","Number","0","Units",,,14,,
"AUS","Australia","LOA_UNK","LOA unknown","NUM","Number of vessels","2015","2015","NBR","Number","0","Units",,,1,,
"AUS","Australia","LOA_UNK","LOA unknown","GRT","Gross tonnage","2015","2015","TONNE","Tonnes","0","Units",,,0,,
"AUS","Australia","LOA_0_6","0-5.9 m","NUM","Number of vessels","2010","2010","NBR","Number","0","Units",,,3,,
"AUS","Australia","LOA_0_6","0-5.9 m","NUM","Number of vessels","2011","2011","NBR","Number","0","Units",,,2,,
"AUS","Australia","LOA_0_6","0-5.9 m","NUM","Number of vessels","2012","2012","NBR","Number","0","Units",,,2,,
"AUS","Australia","LOA_0_6","0-5.9 m","NUM","Number of vessels","2013","2013","NBR","Number","0","Units",,,2,,
"AUS","Australia","LOA_0_6","0-5.9 m","NUM","Number of vessels","2014","2014","NBR","Number","0","Units",,,4,,
"AUS","Australia","LOA_0_6","0-5.9 m","NUM","Number of vessels","2015","2015","NBR","Number","0","Units",,,3,,
"AUS","Australia","LOA_0_6","0-5.9 m","NUM","Number of vessels","2016","2016","NBR","Number","0","Units",,,2,,
"AUS","Australia","LOA_0_6","0-5.9 m","NUM","Number of vessels","2017","2017","NBR","Number","0","Units",,,3,,
"AUS","Australia","LOA_0_6","0-5.9 m","NUM","Number of vessels","2018","2018","NBR","Number","0","Units",,,1,,
"AUS","Australia","LOA_0_6","0-5.9 m","NUM","Number of vessels","2019","2019","NBR","Number","0","Units",,,1,,
"AUS","Australia","LOA_0_6","0-5.9 m","NUM","Number of vessels","2020","2020","NBR","Number","0","Units",,,2,,
"AUS","Australia","LOA_0_6","0-5.9 m","GRT","Gross tonnage","2010","2010","TONNE","Tonnes","0","Units",,,63,,
"AUS","Australia","LOA_0_6","0-5.9 m","GRT","Gross tonnage","2011","2011","TONNE","Tonnes","0","Units",,,61,,
"AUS","Australia","LOA_0_6","0-5.9 m","GRT","Gross tonnage","2012","2012","TONNE","Tonnes","0","Units",,,61,,
"AUS","Australia","LOA_0_6","0-5.9 m","GRT","Gross tonnage","2013","2013","TONNE","Tonnes","0","Units",,,61,,
"AUS","Australia","LOA_0_6","0-5.9 m","GRT","Gross tonnage","2014","2014","TONNE","Tonnes","0","Units",,,61,,
"AUS","Australia","LOA_0_6","0-5.9 m","GRT","Gross tonnage","2015","2015","TONNE","Tonnes","0","Units",,,61,,
"AUS","Australia","LOA_0_6","0-5.9 m","GRT","Gross tonnage","2016","2016","TONNE","Tonnes","0","Units",,,60,,
"AUS","Australia","LOA_0_6","0-5.9 m","GRT","Gross tonnage","2017","2017","TONNE","Tonnes","0","Units",,,1,,
"AUS","Australia","LOA_0_6","0-5.9 m","GRT","Gross tonnage","2019","2019","TONNE","Tonnes","0","Units",,,1,,
"AUS","Australia","LOA_0_6","0-5.9 m","GRT","Gross tonnage","2020","2020","TONNE","Tonnes","0","Units",,,2,,
