"COUNTRY","Country","VARIABLE","Variable","MEASURE","Measure","YEAR","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"AUS","Australia","IFINP","I.A. Transfers based on input use","USD","US dollar","2014","2014","USD","US Dollar","0","Units",,,1103477.1538706,,
"AUS","Australia","IFINP","I.A. Transfers based on input use","USD","US dollar","2015","2015","USD","US Dollar","0","Units",,,2045669.3008909,,
"AUS","Australia","IFINP","I.A. Transfers based on input use","USD","US dollar","2016","2016","USD","US Dollar","0","Units",,,1454653.7378275,,
"AUS","Australia","IFINP","I.A. Transfers based on input use","USD","US dollar","2017","2017","USD","US Dollar","0","Units",,,2030833.0572411,,
"AUS","Australia","IFINP","I.A. Transfers based on input use","USD","US dollar","2018","2018","USD","US Dollar","0","Units",,,5976.1480008757,,
"AUS","Australia","IFINP","I.A. Transfers based on input use","USD","US dollar","2019","2019","USD","US Dollar","0","Units",,,0,,
"AUS","Australia","IFINP","I.A. Transfers based on input use","USD","US dollar","2020","2020","USD","US Dollar","0","Units",,,0,,
"AUS","Australia","IFINP_VAR","I.A.1. Transfers based on variable input use","USD","US dollar","2014","2014","USD","US Dollar","0","Units",,,1103477.1538706,,
"AUS","Australia","IFINP_VAR","I.A.1. Transfers based on variable input use","USD","US dollar","2015","2015","USD","US Dollar","0","Units",,,2045669.3008909,,
"AUS","Australia","IFINP_VAR","I.A.1. Transfers based on variable input use","USD","US dollar","2016","2016","USD","US Dollar","0","Units",,,854804.18932125,,
"AUS","Australia","IFINP_VAR","I.A.1. Transfers based on variable input use","USD","US dollar","2017","2017","USD","US Dollar","0","Units",,,881304.91163293,,
"AUS","Australia","IFINP_VAR","I.A.1. Transfers based on variable input use","USD","US dollar","2018","2018","USD","US Dollar","0","Units",,,2988.0740004379,,
"AUS","Australia","IFINP_VAR","I.A.1. Transfers based on variable input use","USD","US dollar","2019","2019","USD","US Dollar","0","Units",,,0,,
"AUS","Australia","IFINP_VAR","I.A.1. Transfers based on variable input use","USD","US dollar","2020","2020","USD","US Dollar","0","Units",,,0,,
"AUS","Australia","IFRPC","I.C. Transfers based on the reduction of productive capacity","USD","US dollar","2010","2010","USD","US Dollar","0","Units",,,2353749.1460391,,
"AUS","Australia","IFRPC","I.C. Transfers based on the reduction of productive capacity","USD","US dollar","2011","2011","USD","US Dollar","0","Units",,,8526723.2472253,,
"AUS","Australia","IFRPC","I.C. Transfers based on the reduction of productive capacity","USD","US dollar","2012","2012","USD","US Dollar","0","Units",,,5578744.2354221,,
"AUS","Australia","IFRPC","I.C. Transfers based on the reduction of productive capacity","USD","US dollar","2013","2013","USD","US Dollar","0","Units",,,19252192.208772,,
"AUS","Australia","IFRPC","I.C. Transfers based on the reduction of productive capacity","USD","US dollar","2014","2014","USD","US Dollar","0","Units",,,7481224.2033616,,
"AUS","Australia","IFRPC","I.C. Transfers based on the reduction of productive capacity","USD","US dollar","2015","2015","USD","US Dollar","0","Units",,,26268328.129951,,
"AUS","Australia","IFRPC","I.C. Transfers based on the reduction of productive capacity","USD","US dollar","2016","2016","USD","US Dollar","0","Units",,,1670213.0551346,,
